gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
COX10,ENSG00000006695,Q12887,Cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,17,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
GTF2IRD1,ENSG00000006704,Q9UHL9,GTF2I repeat domain containing 1,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
PAF1,ENSG00000006712,Q8N7H5,"PAF1 homolog, Paf1/RNA polymerase II complex component",19,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
VPS41,ENSG00000006715,P49754,VPS41 subunit of HOPS complex,7,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ARHGAP44,ENSG00000006740,Q17R89,Rho GTPase activating protein 44,17,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
ELAC2,ENSG00000006744,Q9BQ52,ElaC ribonuclease Z 2,17,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SCIN,ENSG00000006747,Q9Y6U3,Scinderin,7,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ARSD,ENSG00000006756,P51689,Arylsulfatase D,X,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
PNPLA4,ENSG00000006757,P41247,Patatin like phospholipase domain containing 4,X,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MYH13,ENSG00000006788,Q9UKX3,Myosin heavy chain 13,17,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
ADIPOR2,ENSG00000006831,Q86V24,Adiponectin receptor 2,12,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
CDKL3,ENSG00000006837,Q8IVW4,Cyclin dependent kinase like 3,5,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
UPP2,ENSG00000007001,O95045,Uridine phosphorylase 2,2,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
PRSS21,ENSG00000007038,Q9Y6M0,Serine protease 21,16,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in many
MARK4,ENSG00000007047,Q96L34,Microtubule affinity regulating kinase 4,19,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PROM1,ENSG00000007062,O43490,Prominin 1,4,"CD markers, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in many
CCDC124,ENSG00000007080,Q96CT7,Coiled-coil domain containing 124,19,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CEACAM21,ENSG00000007129,Q3KPI0,CEA cell adhesion molecule 21,19,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in some
PAFAH1B1,ENSG00000007168,P43034,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,17,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NOS2,ENSG00000007171,P35228,Nitric oxide synthase 2,17,"Cancer-related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in some
DNAH9,ENSG00000007174,Q9NYC9,Dynein axonemal heavy chain 9,17,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
BLTP2,ENSG00000007202,Q14667,Bridge-like lipid transfer protein family member 2,17,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SLC13A2,ENSG00000007216,Q13183,Solute carrier family 13 member 2,17,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in some
GAS7,ENSG00000007237,O60861,Growth arrest specific 7,17,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in all
TRAPPC6A,ENSG00000007255,O75865,Trafficking protein particle complex subunit 6A,19,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
MATK,ENSG00000007264,P42679,Megakaryocyte-associated tyrosine kinase,19,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
CEACAM7,ENSG00000007306,Q14002,CEA cell adhesion molecule 7,19,Predicted membrane proteins,Evidence at protein level,Tissue enriched,Detected in some
CD79B,ENSG00000007312,P40259,CD79b molecule,17,"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
SCN4A,ENSG00000007314,P35499,Sodium voltage-gated channel alpha subunit 4,17,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,Group enriched,Detected in some
ST7L,ENSG00000007341,Q8TDW4,Suppression of tumorigenicity 7 like,1,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in all
TKTL1,ENSG00000007350,P51854,Transketolase like 1,X,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
PAX6,ENSG00000007372,P26367,Paired box 6,11,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Evidence at protein level,Group enriched,Detected in some
RPUSD1,ENSG00000007376,Q9UJJ7,RNA pseudouridine synthase domain containing 1,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
RHBDF1,ENSG00000007384,Q96CC6,Rhomboid 5 homolog 1,16,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
LUC7L,ENSG00000007392,Q9NQ29,LUC7 like,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CACNA2D2,ENSG00000007402,Q9NY47,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,3,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
BAIAP3,ENSG00000007516,O94812,BAI1 associated protein 3,16,Predicted intracellular proteins,Evidence at protein level,Group enriched,Detected in many
TSR3,ENSG00000007520,Q9UJK0,TSR3 ribosome maturation factor,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PIGQ,ENSG00000007541,Q9BRB3,Phosphatidylinositol glycan anchor biosynthesis class Q,16,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
CRAMP1,ENSG00000007545,Q96RY5,Cramped chromatin regulator homolog 1,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
TEAD3,ENSG00000007866,Q99594,TEA domain transcription factor 3,6,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
SELE,ENSG00000007908,P16581,Selectin E,1,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
DNAJC11,ENSG00000007923,Q9NVH1,DnaJ heat shock protein family (Hsp40) member C11,1,"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
FMO3,ENSG00000007933,P31513,Flavin containing dimethylaniline monoxygenase 3,1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
MYLIP,ENSG00000007944,Q8WY64,Myosin regulatory light chain interacting protein,6,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NOX1,ENSG00000007952,Q9Y5S8,NADPH oxidase 1,X,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
E2F2,ENSG00000007968,Q14209,E2F transcription factor 2,1,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Group enriched,Detected in some
PSMB1,ENSG00000008018,P20618,Proteasome 20S subunit beta 1,6,"Enzymes, Essential proteins, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SYN1,ENSG00000008056,P17600,Synapsin I,X,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in many
JARID2,ENSG00000008083,Q92833,Jumonji and AT-rich interaction domain containing 2,6,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in all
CDKL5,ENSG00000008086,O76039,Cyclin dependent kinase like 5,X,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
CAMK1G,ENSG00000008118,Q96NX5,Calcium/calmodulin dependent protein kinase IG,1,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
CDK11A,ENSG00000008128,Q9UQ88,Cyclin dependent kinase 11A,1,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NADK,ENSG00000008130,O95544,NAD kinase,1,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TFAP2B,ENSG00000008196,Q92481,Transcription factor AP-2 beta,6,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in some
TFAP2D,ENSG00000008197,Q7Z6R9,Transcription factor AP-2 delta,6,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Not detected,Not detected
DLEC1,ENSG00000008226,Q9Y238,DLEC1 cilia and flagella associated protein,3,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
CYTH3,ENSG00000008256,O43739,Cytohesin 3,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
ADAM22,ENSG00000008277,Q9P0K1,ADAM metallopeptidase domain 22,7,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
SYPL1,ENSG00000008282,Q16563,Synaptophysin like 1,7,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in all
CYB561,ENSG00000008283,P49447,Cytochrome b561,17,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
SPAG9,ENSG00000008294,O60271,Sperm associated antigen 9,17,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
CELSR3,ENSG00000008300,Q9NYQ7,Cadherin EGF LAG seven-pass G-type receptor 3,3,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
AASS,ENSG00000008311,Q9UDR5,Aminoadipate-semialdehyde synthase,7,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
PLEKHG6,ENSG00000008323,Q3KR16,Pleckstrin homology and RhoGEF domain containing G6,12,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
SS18L2,ENSG00000008324,Q9UHA2,SS18 like 2,3,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MPND,ENSG00000008382,Q8N594,MPN domain containing,19,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
